Date,NIFTY_50,NIFTY_FIN_SERVICES,NIFTY_AUTO
2019-08-20,11017.0,12450.400390625,7040.5
2019-08-21,10918.7001953125,12356.4501953125,7001.85009765625
2019-08-22,10741.349609375,12049.900390625,6882.10009765625
2019-08-23,10829.349609375,12080.2998046875,6988.35009765625
2019-08-26,11057.849609375,12563.650390625,7022.75
2019-08-27,11105.349609375,12646.349609375,7152.9501953125
2019-08-28,11046.099609375,12575.25,7018.5498046875
2019-08-29,10948.2998046875,12341.099609375,6970.14990234375
2019-08-30,11023.25,12418.150390625,7009.2998046875
2019-09-03,10797.900390625,12134.9501953125,6897.75
2019-09-04,10844.650390625,12260.349609375,6782.0498046875
2019-09-05,10847.900390625,12122.75,6921.75
2019-09-06,10946.2001953125,12235.900390625,7102.4501953125
2019-09-09,11003.0498046875,12341.900390625,7165.35009765625
2019-09-11,11035.7001953125,12382.099609375,7423.60009765625
2019-09-12,10982.7998046875,12422.25,7284.0
2019-09-13,11075.900390625,12513.0,7360.60009765625
2019-09-16,11003.5,12397.7001953125,7300.64990234375
2019-09-17,10817.599609375,12111.0498046875,7020.75
2019-09-18,10840.650390625,12116.2001953125,7012.10009765625
2019-09-19,10704.7998046875,12001.25,6920.60009765625
2019-09-20,11274.2001953125,12859.849609375,7605.85009765625
2019-09-23,11600.2001953125,13560.25,7802.64990234375
2019-09-24,11588.2001953125,13398.349609375,7773.25
2019-09-25,11440.2001953125,13141.2998046875,7470.4501953125
2019-09-26,11571.2001953125,13288.25,7659.75
2019-09-27,11512.400390625,13282.650390625,7554.25
2019-09-30,11474.4501953125,13017.2998046875,7493.14990234375
2019-10-01,11359.900390625,12995.5,7464.10009765625
2019-10-03,11314.0,12847.75,7493.75
2019-10-04,11174.75,12593.25,7404.89990234375
2019-10-07,11126.400390625,12589.150390625,7355.4501953125
2019-10-09,11313.2998046875,12970.4501953125,7460.75
2019-10-10,11234.5498046875,12721.7998046875,7359.64990234375
2019-10-11,11305.0498046875,12769.349609375,7397.0498046875
2019-10-14,11341.150390625,12791.2001953125,7520.35009765625
2019-10-15,11428.2998046875,12904.599609375,7688.25
2019-10-16,11464.0,12978.400390625,7673.7998046875
2019-10-17,11586.349609375,13144.75,7914.0
2019-10-18,11661.849609375,13213.4501953125,7964.75
2019-10-22,11588.349609375,13344.4501953125,7936.64990234375
2019-10-23,11604.099609375,13398.650390625,8036.60009765625
2019-10-24,11582.599609375,13334.2998046875,8012.39990234375
2019-10-25,11583.900390625,13346.7998046875,7986.35009765625
2019-10-29,11786.849609375,13516.349609375,8449.75
2019-10-30,11844.099609375,13539.7998046875,8428.900390625
2019-10-31,11877.4501953125,13516.4501953125,8449.5
2019-11-01,11890.599609375,13585.2998046875,8392.900390625
2019-11-04,11941.2998046875,13671.099609375,8280.349609375
2019-11-05,11917.2001953125,13669.400390625,8256.150390625
2019-11-06,11966.0498046875,13828.4501953125,8258.849609375
2019-11-07,12012.0498046875,13894.900390625,8239.900390625
2019-11-08,11908.150390625,13868.650390625,8169.64990234375
2019-11-11,11913.4501953125,13969.099609375,8159.0
2019-11-13,11840.4501953125,13806.400390625,8150.2001953125
2019-11-14,11872.099609375,13947.349609375,8190.89990234375
2019-11-15,11895.4501953125,14021.0,8153.89990234375
2019-11-18,11884.5,14002.7001953125,8119.0
2019-11-19,11940.099609375,14008.900390625,8063.9501953125
2019-11-20,11999.099609375,13982.2001953125,8083.7998046875
2019-11-21,11968.400390625,14019.2001953125,8004.64990234375
2019-11-22,11914.400390625,13952.099609375,8034.9501953125
2019-11-25,12073.75,14155.75,8174.75
2019-11-26,12037.7001953125,14207.4501953125,8099.89990234375
2019-11-27,12100.7001953125,14266.0498046875,8202.849609375
2019-11-28,12151.150390625,14287.0,8179.75
2019-11-29,12056.0498046875,14208.849609375,8086.0
2019-12-02,12048.2001953125,14163.0498046875,8012.75
2019-12-03,11994.2001953125,14140.4501953125,7964.25
2019-12-04,12043.2001953125,14246.5498046875,7996.5498046875
2019-12-05,12018.400390625,14194.0498046875,7941.7998046875
2019-12-06,11921.5,14041.849609375,7806.60009765625
2019-12-09,11937.5,14092.400390625,7863.2998046875
2019-12-10,11856.7998046875,14071.599609375,7801.35009765625
2019-12-11,11910.150390625,14166.849609375,7838.39990234375
2019-12-12,11971.7998046875,14292.900390625,7941.7001953125
2019-12-13,12086.7001953125,14410.4501953125,8069.7001953125
2019-12-16,12053.9501953125,14417.599609375,7990.7998046875
2019-12-17,12165.0,14554.5,8039.89990234375
2019-12-18,12221.650390625,14618.9501953125,8082.35009765625
2019-12-19,12259.7001953125,14571.4501953125,8165.5
2019-12-20,12271.7998046875,14625.7998046875,8133.5498046875
2019-12-23,12262.75,14648.7998046875,8180.5
2019-12-24,12214.5498046875,14603.7001953125,8152.60009765625
2019-12-26,12126.5498046875,14523.7001953125,8129.64990234375
2019-12-27,12245.7998046875,14679.349609375,8205.900390625
2019-12-30,12255.849609375,14650.599609375,8325.400390625
2019-12-31,12168.4501953125,14557.400390625,8248.2998046875
2020-01-01,12182.5,14574.2001953125,8210.099609375
2020-01-02,12282.2001953125,14697.5,8267.4501953125
2020-01-03,12226.650390625,14560.7001953125,8168.14990234375
2020-01-06,11993.0498046875,14202.5,7978.75
2020-01-07,12052.9501953125,14314.75,8002.5
2020-01-08,12025.349609375,14306.650390625,7942.75
2020-01-09,12215.900390625,14590.099609375,8155.25
2020-01-10,12256.7998046875,14609.650390625,8225.5
2020-01-13,12329.5498046875,14635.0498046875,8235.849609375
2020-01-14,12362.2998046875,14667.2001953125,8289.2998046875
2020-01-15,12343.2998046875,14636.0498046875,8385.349609375
2020-01-16,12355.5,14655.349609375,8395.900390625
